sample_id	dataset
17402567-B	lulab_hcc
249136-B	lulab_hcc
385247-B	lulab_hcc
497411-B	lulab_hcc
498221-B	lulab_hcc
507450-B	lulab_hcc
507511-B	lulab_hcc
507867-B	lulab_hcc
507887-B	lulab_hcc
508877-B	lulab_hcc
508897-B	lulab_hcc
515058-B	lulab_hcc
6474170-B	lulab_hcc
8397116-B	lulab_hcc
SH327409-B	lulab_hcc
SH327428-B	lulab_hcc
3497470-B	lulab_hcc
497497-B	lulab_hcc
498127-B	lulab_hcc
498187-B	lulab_hcc
507468-B	lulab_hcc
507599-B	lulab_hcc
507909-B	lulab_hcc
511485-B	lulab_hcc
515292-B	lulab_hcc
SH327412-B	lulab_hcc
423976-B	lulab_hcc
511030-B	lulab_hcc
5474594-B	lulab_hcc
SH325716-B	lulab_hcc
CXD	lulab_hcc
LY	lulab_hcc
Normal-1	lulab_hcc
Normal-2	lulab_hcc
Normal-3	lulab_hcc
Normal-4	lulab_hcc
Normal-5	lulab_hcc
Normal-6	lulab_hcc
Normal-7	lulab_hcc
Normal-8	lulab_hcc
mix1_combined_R1	lulab_hcc
mix2_combined_R1	lulab_hcc
mix3_combined_R1	lulab_hcc
4N_A_Lab5	GSE94582
4N_B_Lab2	GSE94582
4N_B_Lab4	GSE94582
4N_B_Lab5	GSE94582
4N_B_Lab6	GSE94582
4N_C_Lab6	GSE94582
4N_D_Lab1	GSE94582
4N_Xu_Lab5	GSE94582
CleanTag_Lab5	GSE94582
NEBNext_Lab1	GSE94582
NEBNext_Lab2	GSE94582
NEBNext_Lab3	GSE94582
NEBNext_Lab4	GSE94582
NEBNext_Lab5	GSE94582
TruSeq_Lab1	GSE94582
TruSeq_Lab2	GSE94582
TruSeq_Lab3	GSE94582
TruSeq_Lab4	GSE94582
TruSeq_Lab5	GSE94582
TruSeq_Lab6	GSE94582
SRR1044425	GSE53080
SRR1044427	GSE53080
SRR1044429	GSE53080
SRR1044431	GSE53080
SRR1044433	GSE53080
SRR1044434	GSE53080
SRR1044435	GSE53080
SRR1044436	GSE53080
SRR1044437	GSE53080
SRR1044438	GSE53080
SRR1044439	GSE53080
SRR1044440	GSE53080
SRR1044441	GSE53080
SRR1044442	GSE53080
SRR1044443	GSE53080
SRR1044444	GSE53080
SRR1044445	GSE53080
SRR7101181	GSE113994
SRR7101187	GSE113994
SRR7101193	GSE113994
SRR7101195	GSE113994
SRR7101208	GSE113994
SRR7101209	GSE113994
SRR7101210	GSE113994
SRR7101211	GSE113994
SRR7101221	GSE113994
SRR7101225	GSE113994
SRR7101227	GSE113994
SRR7101230	GSE113994
SRR7101242	GSE113994
SRR7101243	GSE113994
SRR7101257	GSE113994
SRR7101259	GSE113994
SRR7101260	GSE113994
SRR7101261	GSE113994
SRR7101266	GSE113994
SRR7101284	GSE113994
SRR7101288	GSE113994
SRR7101295	GSE113994
SRR7101300	GSE113994
SRR7101310	GSE113994
SRR7101313	GSE113994
SRR7101316	GSE113994
SRR7101328	GSE113994
SRR7101331	GSE113994
SRR7101333	GSE113994
SRR7101334	GSE113994
SRR7101339	GSE113994
SRR7101344	GSE113994
SRR7101352	GSE113994
SRR7101362	GSE113994
SRR7101366	GSE113994
SRR7101370	GSE113994
SRR7101377	GSE113994
SRR7101379	GSE113994
SRR7101392	GSE113994
SRR7101397	GSE113994
SRR7101400	GSE113994
SRR7101403	GSE113994
SRR7101417	GSE113994
SRR7101434	GSE113994
SRR7101437	GSE113994
SRR7101442	GSE113994
SRR7101443	GSE113994
SRR7101450	GSE113994
SRR7101454	GSE113994
SRR7101467	GSE113994
SRR7101479	GSE113994
SRR7101487	GSE113994
SRR7101488	GSE113994
